mesafe_km,hava_durumu,kurye_deneyim_ay,aktarma_sayisi,hafta_sonu,paket_agirlik_kg,gecikti
593,Yagmurlu,5,1,0,7.8,1
132,Yagmurlu,13,3,0,11.6,1
544,Acik,17,1,0,2.0,0
194,Yagmurlu,4,0,1,8.6,1
285,Karli,11,0,0,10.6,0
326,Acik,31,1,0,8.0,0
515,Acik,37,0,0,2.4,0
403,Yagmurlu,26,2,0,5.2,1
189,Acik,1,1,1,5.9,1
27,Yagmurlu,16,1,1,10.1,0
350,Yagmurlu,33,1,0,2.6,0
277,Acik,11,1,0,8.8,0
80,Acik,5,1,0,3.9,0
301,Acik,32,0,0,3.2,0
248,Acik,35,0,0,4.5,0
589,Yagmurlu,15,0,0,0.3,1
812,Acik,5,0,0,0.4,1
475,Acik,3,1,1,0.6,1
237,Yagmurlu,19,0,0,6.1,0
264,Acik,9,0,1,3.5,0
128,Yagmurlu,14,3,1,2.4,0
150,Acik,13,3,0,4.2,0
227,Acik,7,1,0,8.9,0
210,Acik,3,1,1,4.1,0
76,Yagmurlu,11,2,0,1.6,0
593,Yagmurlu,17,0,0,20.5,0
647,Yagmurlu,17,1,0,4.4,1
581,Karli,9,0,1,10.6,1
662,Yagmurlu,34,1,1,8.0,1
963,Yagmurlu,6,3,1,3.0,1
130,Acik,29,2,0,14.0,1
937,Karli,16,3,0,2.6,1
188,Yagmurlu,11,2,1,6.1,0
386,Karli,21,1,1,5.5,1
58,Acik,13,2,0,5.9,0
169,Acik,4,1,1,12.4,0
484,Yagmurlu,6,1,1,4.5,1
399,Acik,12,0,0,5.2,0
185,Acik,10,1,0,5.4,0
264,Karli,29,0,0,17.9,0
155,Acik,9,1,1,10.1,0
483,Acik,9,0,0,0.9,0
619,Acik,8,1,0,2.7,0
131,Acik,7,0,0,4.7,0
245,Yagmurlu,8,0,1,12.2,1
